"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 26 13:25:18 GMT 2024","Tue Nov 26 13:26:12 GMT 2024","53738","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Tue Nov 26 13:27:19 GMT 2024","Tue Nov 26 13:27:54 GMT 2024","34901","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildTypeWithoutName","User should not be able to create buildType without name",""
"passed","Tue Nov 26 13:27:19 GMT 2024","Tue Nov 26 13:27:19 GMT 2024","3","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Tue Nov 26 13:27:54 GMT 2024","Tue Nov 26 13:28:07 GMT 2024","12451","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
"failed","Tue Nov 26 13:26:32 GMT 2024","Tue Nov 26 13:27:18 GMT 2024","46329","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
