"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Nov 26 11:06:56 GMT 2024","Tue Nov 26 11:06:56 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"skipped","Tue Nov 26 11:06:56 GMT 2024","Tue Nov 26 11:06:56 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"broken","Tue Nov 26 11:06:44 GMT 2024","Tue Nov 26 11:06:45 GMT 2024","462","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"skipped","Tue Nov 26 11:06:56 GMT 2024","Tue Nov 26 11:06:56 GMT 2024","2","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"skipped","Tue Nov 26 11:06:56 GMT 2024","Tue Nov 26 11:06:56 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"broken","Tue Nov 26 11:06:56 GMT 2024","Tue Nov 26 11:06:56 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","cleanUpServerAuthSettings","cleanUpServerAuthSettings",""
"broken","Tue Nov 26 11:06:55 GMT 2024","Tue Nov 26 11:06:55 GMT 2024","5","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","setUpServerAuthSettings","setUpServerAuthSettings",""
