"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 27 06:36:28 GMT 2024","Wed Nov 27 06:37:15 GMT 2024","47120","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildTypeWithoutName","User should not be able to create buildType without name",""
"passed","Wed Nov 27 06:36:28 GMT 2024","Wed Nov 27 06:36:28 GMT 2024","8","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Wed Nov 27 06:35:15 GMT 2024","Wed Nov 27 06:36:08 GMT 2024","53061","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Wed Nov 27 06:37:15 GMT 2024","Wed Nov 27 06:37:31 GMT 2024","15269","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
