"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 26 09:43:37 GMT 2024","Tue Nov 26 09:43:37 GMT 2024","64","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildTypeWithoutName","User should not be able to create buildType without name",""
"passed","Tue Nov 26 09:43:37 GMT 2024","Tue Nov 26 09:43:37 GMT 2024","2","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"failed","Tue Nov 26 09:43:37 GMT 2024","Tue Nov 26 09:43:37 GMT 2024","46","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
"failed","Tue Nov 26 09:43:34 GMT 2024","Tue Nov 26 09:43:37 GMT 2024","2354","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"broken","Tue Nov 26 09:43:25 GMT 2024","Tue Nov 26 09:43:26 GMT 2024","437","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
