"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 26 09:43:50 GMT 2024","Tue Nov 26 09:43:50 GMT 2024","450","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"skipped","Tue Nov 26 09:44:01 GMT 2024","Tue Nov 26 09:44:01 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"failed","Tue Nov 26 09:44:01 GMT 2024","Tue Nov 26 09:44:01 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","cleanUpServerAuthSettings","cleanUpServerAuthSettings",""
"skipped","Tue Nov 26 09:44:01 GMT 2024","Tue Nov 26 09:44:01 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"failed","Tue Nov 26 09:44:01 GMT 2024","Tue Nov 26 09:44:01 GMT 2024","5","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","setUpServerAuthSettings","setUpServerAuthSettings",""
"skipped","Tue Nov 26 09:44:01 GMT 2024","Tue Nov 26 09:44:01 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"skipped","Tue Nov 26 09:44:01 GMT 2024","Tue Nov 26 09:44:01 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
