"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 26 15:56:56 GMT 2024","Tue Nov 26 15:56:56 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"failed","Tue Nov 26 15:56:09 GMT 2024","Tue Nov 26 15:56:55 GMT 2024","46479","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Tue Nov 26 15:57:33 GMT 2024","Tue Nov 26 15:57:45 GMT 2024","12830","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
"passed","Tue Nov 26 15:54:59 GMT 2024","Tue Nov 26 15:55:49 GMT 2024","50027","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Tue Nov 26 15:56:56 GMT 2024","Tue Nov 26 15:57:32 GMT 2024","36779","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildTypeWithoutName","User should not be able to create buildType without name",""
