"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 26 16:37:41 GMT 2024","Tue Nov 26 16:37:41 GMT 2024","6","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Tue Nov 26 16:36:27 GMT 2024","Tue Nov 26 16:37:20 GMT 2024","53660","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Tue Nov 26 16:37:41 GMT 2024","Tue Nov 26 16:38:32 GMT 2024","51631","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildTypeWithoutName","User should not be able to create buildType without name",""
"passed","Tue Nov 26 16:38:33 GMT 2024","Tue Nov 26 16:38:48 GMT 2024","15052","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
